round_index,my_policy,opp_policy,winner,win_reason,total_steps,total_reward_my,total_reward_opp,my_hp_proxy,my_stability,my_energy,opp_hp_proxy,opp_stability,opp_energy,scoreline_after_round,resource_usage,resource_usage_count
1,protective_q3_policy,risk_aware_q3_policy,opp,ko_like,10,0.2,158.69285714285712,0.0,13.61000000000001,100.0,100.0,92.0,80.32857142857146,0:1,[],0
2,momentum_q3_policy,risk_aware_q3_policy,opp,ko_like,4,-20.612571428571428,116.19278571428569,0.0,0.0,95.23428571428572,100.0,83.51999999999998,79.52857142857145,0:2,"[{'round_index': 2, 'step_index': 3, 'phase': 'in_round', 'side': 'my', 'resource_type': 'timeout', 'reason': '稳定性过低，触发局内暂停'}]",1
