round_index,my_policy,opp_policy,winner,win_reason,total_steps,total_reward_my,total_reward_opp,my_hp_proxy,my_stability,my_energy,opp_hp_proxy,opp_stability,opp_energy,scoreline_after_round,resource_usage,resource_usage_count
1,momentum_q3_policy,momentum_q3_policy,opp,ko_like,9,48.38030952380953,118.79233333333333,0.0,11.221333333333332,92.11142857142858,49.616933333333336,37.15316666666665,77.00000000000003,0:1,"[{'round_index': 1, 'step_index': 5, 'phase': 'in_round', 'side': 'my', 'resource_type': 'timeout', 'reason': '稳定性过低，触发局内暂停'}]",1
2,momentum_q3_policy,protective_q3_policy,my,ko_like,8,137.5857619047619,0.0,90.0,85.79541333333333,85.77657142857146,0.0,24.650840000000006,100.0,1:1,"[{'round_index': 2, 'step_index': 0, 'phase': 'pre_round', 'side': 'my', 'resource_type': 'repair', 'reason': '故障等级达到 MAJOR/CRITICAL，赛前优先维修'}, {'round_index': 2, 'step_index': 3, 'phase': 'in_round', 'side': 'opp', 'resource_type': 'timeout', 'reason': '失衡且稳定性偏低，触发局内暂停'}]",2
3,momentum_q3_policy,simple_rule_policy,my,tiebreak_state,500,76.90740476190476,-38.06285714285715,99.0,69.82726613333332,100.0,20.20786666666667,100.0,100.0,2:1,"[{'round_index': 3, 'step_index': 0, 'phase': 'pre_round', 'side': 'opp', 'resource_type': 'repair', 'reason': '故障等级达到 MAJOR/CRITICAL，赛前优先维修'}, {'round_index': 3, 'step_index': 5, 'phase': 'in_round', 'side': 'opp', 'resource_type': 'reset', 'reason': '倒地后触发人工复位'}]",2
