round_index,my_policy,opp_policy,winner,win_reason,total_steps,total_reward_my,total_reward_opp,my_hp_proxy,my_stability,my_energy,opp_hp_proxy,opp_stability,opp_energy,scoreline_after_round,resource_usage,resource_usage_count
1,greedy_q3_policy,greedy_q3_policy,opp,tiebreak_state,500,19.885214285714277,127.50021428571426,7.077999999999992,100.0,100.0,69.026,67.2775,100.0,0:1,"[{'round_index': 1, 'step_index': 4, 'phase': 'in_round', 'side': 'my', 'resource_type': 'timeout', 'reason': '稳定性过低，触发局内暂停'}]",1
2,greedy_q3_policy,greedy_q3_policy,my,tiebreak_state,486,127.50021428571426,3.67795238095238,71.29873333333333,100.0,100.0,3.980599999999999,100.0,100.0,1:1,"[{'round_index': 2, 'step_index': 4, 'phase': 'in_round', 'side': 'opp', 'resource_type': 'reset', 'reason': '倒地后触发人工复位'}]",1
3,greedy_q3_policy,greedy_q3_policy,my,ko_like,4,127.50021428571426,3.67795238095238,77.72080666666668,77.07566666666666,87.79714285714287,0.0,8.332500000000007,87.34285714285716,2:1,[],0
