experiment,description,my_policy,opp_policy,single_winner,single_reason,single_steps,single_reward_my,single_reward_opp,single_final_my_hp,single_final_my_stability,single_final_my_energy,single_final_opp_hp,single_final_opp_stability,single_final_opp_energy,n_runs,my_win_rate,opp_win_rate,draw_rate,avg_reward_my,avg_reward_opp,avg_step_count
q3_greedy_vs_simple_rule,greedy 对 simple_rule,greedy_q3_policy,simple_rule_policy,my,ko_like,6,140.77154700472403,11.987191555901134,73.65605916835574,59.88858689170038,79.52857142857145,0.0,0.0,88.25714285714287,200,0.945,0.055,0.0,138.72063523809547,19.26996964285714,12.95
q3_simple_rule_vs_simple_rule,simple_rule 对 simple_rule,simple_rule_policy,simple_rule_policy,my,ko_like,9,118.5758970872815,51.58031075715417,47.51608072493718,34.68709378769287,77.00000000000003,0.0,0.4477210846674211,87.11142857142858,200,0.485,0.515,0.0,76.76864214285716,80.30187583333333,9.82
q3_greedy_vs_greedy,greedy 对 greedy,greedy_q3_policy,greedy_q3_policy,draw,double_ko,15,101.22919047619047,101.22919047619047,0.0,0.0,78.70857142857143,0.0,0.0,78.70857142857143,200,0.515,0.455,0.03,68.25190642857142,66.7099971428571,257.035
q3_greedy_vs_random,greedy 对 random,greedy_q3_policy,random_policy,my,ko_like,8,134.137443715218,-2.009659786205597,90.01934796289689,78.8079663174425,80.6314285714286,0.0,3.959461778490766,92.69714285714285,200,1.0,0.0,0.0,155.24365880952416,-0.9465517857142869,7.955
