round_index,my_policy,opp_policy,winner,win_reason,total_steps,total_reward_my,total_reward_opp,my_hp_proxy,my_stability,my_energy,opp_hp_proxy,opp_stability,opp_energy,scoreline_after_round,resource_usage,resource_usage_count
1,simple_rule_policy,risk_aware_q3_policy,opp,tiebreak_state,491,22.28750000000001,93.57792857142854,7.077999999999992,100.0,100.0,69.026,100.0,100.0,0:1,"[{'round_index': 1, 'step_index': 6, 'phase': 'in_round', 'side': 'my', 'resource_type': 'reset', 'reason': '倒地后触发人工复位'}]",1
2,greedy_q3_policy,risk_aware_q3_policy,my,tiebreak_state,500,127.50021428571426,-2.586166666666667,76.42386666666665,78.11683333333333,100.0,3.980599999999999,100.0,100.0,1:1,"[{'round_index': 2, 'step_index': 4, 'phase': 'in_round', 'side': 'opp', 'resource_type': 'timeout', 'reason': '稳定性过低，触发局内暂停'}]",1
3,simple_rule_policy,risk_aware_q3_policy,opp,tiebreak_state,484,2.2584047619047602,104.88535714285712,4.720386666666659,100.0,100.0,76.11412666666666,100.0,100.0,1:2,"[{'round_index': 3, 'step_index': 5, 'phase': 'in_round', 'side': 'my', 'resource_type': 'reset', 'reason': '倒地后触发人工复位'}]",1
