step_index,time_left_sec,phase,my_decision_type,my_action_key,opp_decision_type,opp_action_key,reward_my,reward_opp,my_hp_proxy,my_stability,my_energy,my_posture,opp_hp_proxy,opp_stability,opp_energy,opp_posture,distance,initiative,info_case
1,299.5,normal,attack,A06,hold,,0.0,0.0,100.0,100.0,100.0,standing,100.0,100.0,100.0,standing,mid,neutral,neutral_or_recovery
2,298.835,normal,attack,A06,attack,A05,21.73835823344806,5.92539869196155,92.51097940773381,89.68065191306458,95.86571428571429,standing,80.97736931665197,80.32539899219508,97.41142857142857,standing,mid,my,my_attack_vs_opp_attack
3,298.16999999999996,normal,attack,A06,attack,A02,37.11932142857143,-3.4812214285714287,92.00955940773382,86.60410191306458,91.73142857142858,standing,53.10076931665198,54.795148992195074,95.40571428571428,standing,mid,my,my_attack_vs_opp_attack
4,297.50499999999994,normal,attack,A06,attack,A09,36.8638571566366,-3.7507150782658125,91.06219985528791,82.6031057464192,87.59714285714287,standing,25.371225960408132,28.66227511007657,92.97999999999999,off_balance,near,my,my_attack_vs_opp_attack
5,297.00499999999994,normal,attack,A08,hold,,0.0,0.0,91.06219985528791,82.6031057464192,87.79714285714287,standing,25.371225960408132,31.16227511007657,93.17999999999999,off_balance,mid,neutral,neutral_or_recovery
6,296.3399999999999,normal,attack,A06,attack,A01,30.10428341058303,-0.7838908022223761,90.01934796289689,78.89256890600156,83.66285714285716,standing,1.5327951295606255,9.735992741397526,91.89714285714285,downed,mid,my,my_attack_vs_opp_attack
7,295.5399999999999,normal,hold,,recover,,0.0,0.0,90.01934796289689,81.39256890600156,83.86285714285717,standing,1.5327951295606255,12.235992741397526,92.69714285714285,off_balance,near,neutral,neutral_or_recovery
8,294.8399999999999,finished,attack,A08,defend,D08,8.311623485978878,0.08076883089247036,90.01934796289689,78.8079663174425,80.6314285714286,standing,0.0,3.959461778490766,92.69714285714285,downed,near,my,my_attack_vs_opp_defense
