round_index,my_policy,opp_policy,winner,win_reason,total_steps,total_reward_my,total_reward_opp,my_hp_proxy,my_stability,my_energy,opp_hp_proxy,opp_stability,opp_energy,scoreline_after_round,resource_usage,resource_usage_count
1,aggressive_q3_policy,random_policy,my,tiebreak_state,500,57.87288095238094,10.580023809523809,70.37813333333334,36.361166666666655,100.0,16.781933333333328,100.0,100.0,1:0,"[{'round_index': 1, 'step_index': 11, 'phase': 'in_round', 'side': 'my', 'resource_type': 'timeout', 'reason': '稳定性过低，触发局内暂停'}, {'round_index': 1, 'step_index': 11, 'phase': 'in_round', 'side': 'opp', 'resource_type': 'timeout', 'reason': '失衡且稳定性偏低，触发局内暂停'}, {'round_index': 1, 'step_index': 26, 'phase': 'in_round', 'side': 'opp', 'resource_type': 'reset', 'reason': '倒地后触发人工复位'}]",3
2,conservative_q3_policy,random_policy,opp,ko_like,64,2.4,52.00421428571426,0.0,63.28333333333332,100.0,91.67819333333333,83.5,40.07714285714296,1:1,[],0
3,aggressive_q3_policy,random_policy,my,tiebreak_state,500,126.46316666666665,-11.307428571428572,90.0,85.32533333333333,100.0,1.1399526666666517,100.0,100.0,2:1,"[{'round_index': 3, 'step_index': 0, 'phase': 'pre_round', 'side': 'my', 'resource_type': 'repair', 'reason': '故障等级达到 MAJOR/CRITICAL，赛前优先维修'}, {'round_index': 3, 'step_index': 8, 'phase': 'in_round', 'side': 'opp', 'resource_type': 'reset', 'reason': '倒地后触发人工复位'}]",2
