step_index,time_left_sec,phase,my_decision_type,my_action_key,opp_decision_type,opp_action_key,reward_my,reward_opp,my_hp_proxy,my_stability,my_energy,my_posture,opp_hp_proxy,opp_stability,opp_energy,opp_posture,distance,initiative,info_case
1,299.5,normal,attack,A05,attack,A05,9.71097619047619,9.71097619047619,90.29546666666667,88.93783333333334,97.41142857142857,standing,90.29546666666667,88.93783333333334,97.41142857142857,standing,mid,neutral,my_attack_vs_opp_attack
2,298.835,normal,attack,A08,attack,A06,0.008154399346270047,25.821584426559546,68.92234863294118,66.22238186210846,94.18,standing,85.86793525491916,79.94668986064977,93.27714285714286,standing,mid,opp,my_attack_vs_opp_attack
3,298.16999999999996,normal,attack,A06,attack,A05,10.154242159277272,13.065142484402656,57.25478636603883,51.48438842502101,90.0457142857143,standing,73.51363912124108,65.76678015987497,90.68857142857144,standing,mid,opp,my_attack_vs_opp_attack
4,297.27,normal,attack,A05,defend,D09,18.79473162420728,0.04521863022546107,57.25478636603883,50.399141299609944,87.45714285714287,standing,58.49282949768103,54.21673637834925,90.68857142857144,standing,mid,my,my_attack_vs_opp_defense
5,296.77,normal,attack,A05,attack,A05,16.535562258653552,2.886390122298829,51.544348356995904,42.902063050200944,84.86857142857144,standing,44.794200840057286,39.58948129442493,88.10000000000001,standing,mid,my,my_attack_vs_opp_attack
6,296.10499999999996,normal,attack,A06,attack,A05,31.33255810428314,0.0121180814564803,47.51608072493718,36.2423266570934,80.73428571428573,standing,20.2487202417486,15.364065507948096,85.51142857142858,off_balance,mid,my,my_attack_vs_opp_attack
7,295.30499999999995,normal,attack,A06,recover,,0.0,0.0,47.51608072493718,36.2423266570934,80.93428571428574,standing,20.2487202417486,17.864065507948098,86.31142857142858,off_balance,mid,neutral,neutral_or_recovery
8,294.50499999999994,normal,attack,A08,recover,,0.0,0.0,47.51608072493718,36.2423266570934,81.13428571428574,standing,20.2487202417486,20.364065507948098,87.11142857142858,off_balance,mid,neutral,neutral_or_recovery
9,293.80499999999995,finished,attack,A06,defend,D15,32.03967235103781,0.03888082173501324,47.51608072493718,34.68709378769287,77.00000000000003,off_balance,0.0,0.4477210846674211,87.11142857142858,downed,mid,my,my_attack_vs_opp_defense
