round_index,my_policy,opp_policy,winner,win_reason,total_steps,total_reward_my,total_reward_opp,my_hp_proxy,my_stability,my_energy,opp_hp_proxy,opp_stability,opp_energy,scoreline_after_round,resource_usage,resource_usage_count
1,greedy_q3_policy,simple_rule_policy,opp,tiebreak_state,500,23.563166666666657,104.82209523809524,18.64293333333333,100.0,100.0,49.61693333333333,100.0,100.0,0:1,"[{'round_index': 1, 'step_index': 7, 'phase': 'in_round', 'side': 'my', 'resource_type': 'reset', 'reason': '倒地后触发人工复位'}]",1
2,greedy_q3_policy,simple_rule_policy,my,ko_like,4,170.0002857142857,35.01407142857143,58.17129333333334,67.1925,83.46285714285716,0.0,1.1100000000000065,95.0457142857143,1:1,"[{'round_index': 2, 'step_index': 3, 'phase': 'in_round', 'side': 'opp', 'resource_type': 'timeout', 'reason': '稳定性过低，触发局内暂停'}]",1
3,greedy_q3_policy,simple_rule_policy,my,ko_like,5,104.88535714285712,-26.755428571428574,95.81712933333333,65.15079999999999,74.02114285714288,0.0,0.0,89.31485714285716,2:1,"[{'round_index': 3, 'step_index': 0, 'phase': 'pre_round', 'side': 'opp', 'resource_type': 'repair', 'reason': '故障等级达到 MAJOR/CRITICAL，赛前优先维修'}]",1
