round_index,my_policy,opp_policy,winner,win_reason,total_steps,total_reward_my,total_reward_opp,my_hp_proxy,my_stability,my_energy,opp_hp_proxy,opp_stability,opp_energy,scoreline_after_round,resource_usage,resource_usage_count
1,protective_q3_policy,momentum_q3_policy,opp,ko_like,6,0.2,130.71490476190476,0.0,23.206333333333337,100.0,100.0,95.2,84.1657142857143,0:1,[],0
2,momentum_q3_policy,momentum_q3_policy,my,ko_like,4,153.79302380952382,12.55109523809524,70.59093333333334,63.98867999999999,83.00857142857144,0.0,0.5401666666666713,89.06742857142858,1:1,[],0
3,protective_q3_policy,momentum_q3_policy,opp,ko_like,8,0.0,137.5857619047619,0.0,24.94452213333334,99.80171428571428,90.0,84.08642666666667,85.16777142857146,1:2,"[{'round_index': 3, 'step_index': 0, 'phase': 'pre_round', 'side': 'my', 'resource_type': 'repair', 'reason': '故障等级达到 MAJOR/CRITICAL，赛前优先维修'}, {'round_index': 3, 'step_index': 0, 'phase': 'pre_round', 'side': 'opp', 'resource_type': 'repair', 'reason': '故障等级达到 MAJOR/CRITICAL，赛前优先维修'}]",2
