step_index,time_left_sec,phase,my_decision_type,my_action_key,opp_decision_type,opp_action_key,reward_my,reward_opp,my_hp_proxy,my_stability,my_energy,my_posture,opp_hp_proxy,opp_stability,opp_energy,opp_posture,distance,initiative,info_case
1,299.335,normal,attack,A06,attack,A05,21.73835823344806,5.92539869196155,92.51097940773381,89.68065191306458,95.86571428571429,standing,80.97736931665197,80.32539899219508,97.41142857142857,standing,mid,my,my_attack_vs_opp_attack
2,298.66999999999996,normal,attack,A06,attack,A08,34.01346538290988,-4.409034073525641,90.25809430839834,83.5339126074764,91.73142857142858,standing,54.88863876158662,53.48070361930943,94.18,standing,mid,my,my_attack_vs_opp_attack
3,298.00499999999994,normal,attack,A06,attack,A06,26.66909931391141,4.523543543231446,81.14507976062193,71.08332306952495,87.59714285714287,standing,33.02765330936303,29.208793157260878,90.0457142857143,off_balance,mid,my,my_attack_vs_opp_attack
4,297.2049999999999,normal,attack,A06,recover,,0.0,0.0,81.14507976062193,71.08332306952495,87.79714285714287,standing,33.02765330936303,31.708793157260878,90.8457142857143,off_balance,mid,neutral,neutral_or_recovery
5,296.5399999999999,normal,attack,A06,attack,A05,21.73835823344806,5.92539869196155,73.65605916835574,60.76397498258954,83.66285714285716,standing,14.005022626015009,12.03419214945595,88.25714285714287,off_balance,mid,my,my_attack_vs_opp_attack
6,295.8399999999999,finished,attack,A06,defend,D15,36.61226584100662,0.02188470227222901,73.65605916835574,59.88858689170038,79.52857142857145,standing,0.0,0.0,88.25714285714287,downed,mid,my,my_attack_vs_opp_defense
