round_index,my_policy,opp_policy,winner,win_reason,total_steps,total_reward_my,total_reward_opp,my_hp_proxy,my_stability,my_energy,opp_hp_proxy,opp_stability,opp_energy,scoreline_after_round,resource_usage,resource_usage_count
1,simple_rule_policy,momentum_q3_policy,opp,ko_like,7,22.28750000000001,116.97319047619047,0.0,3.906333333333329,88.10000000000001,69.026,53.67750000000001,78.78857142857144,0:1,[],0
2,greedy_q3_policy,momentum_q3_policy,my,tiebreak_state,486,127.50021428571426,-13.741714285714284,90.0,100.0,100.0,3.980599999999999,100.0,100.0,1:1,"[{'round_index': 2, 'step_index': 0, 'phase': 'pre_round', 'side': 'my', 'resource_type': 'repair', 'reason': '故障等级达到 MAJOR/CRITICAL，赛前优先维修'}, {'round_index': 2, 'step_index': 3, 'phase': 'in_round', 'side': 'opp', 'resource_type': 'reset', 'reason': '倒地后触发人工复位'}]",2
3,simple_rule_policy,momentum_q3_policy,my,ko_like,8,136.30107142857142,-34.35428571428571,99.0,79.99999999999999,77.00571428571432,0.0,0.0,90.85714285714286,2:1,"[{'round_index': 3, 'step_index': 5, 'phase': 'in_round', 'side': 'opp', 'resource_type': 'timeout', 'reason': '稳定性过低，触发局内暂停'}]",1
